Text,Entities
He has been prescribed Januvia 25 mg.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
The patient was diagnosed with Prostate Cancer (Stage 1) last year.,"{'entities': [(31, 56, 'DIAGNOSIS')]}"
She mentioned an allergy to viagra.,"{'entities': [(28, 34, 'MEDICATION')]}"
Homocysteine Test measurements indicate Thalassaemia.,"{'entities': [(40, 52, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
Patient presents with Merkel Cell Carcinoma Detected.,"{'entities': [(22, 52, 'SYMPTOM')]}"
Prescribe 535 mg of venlafaxine for pain relief.,"{'entities': [(20, 31, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
He has been prescribed Ursodiol 340 L.,"{'entities': [(23, 31, 'MEDICATION'), (32, 37, 'DOSAGE')]}"
Examine the Pituitary Enlargement in the patient's left rib.,"{'entities': [(12, 33, 'SYMPTOM'), (51, 59, 'BODY_PART')]}"
Calcium in Urine Test measurements indicate Dupuytren’s Contracture (Simple)[R].,"{'entities': [(44, 79, 'DIAGNOSIS'), (0, 21, 'TEST_NAME')]}"
She mentioned an allergy to sitagliptin.,"{'entities': [(28, 39, 'MEDICATION')]}"
He has been prescribed Microgestin 270 mg.,"{'entities': [(23, 34, 'MEDICATION'), (35, 41, 'DOSAGE')]}"
He has been prescribed Ritalin 80 mg.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
Prescribe 765 mg every 31 hours of plavix for pain relief.,"{'entities': [(35, 41, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The Elastography shows normal right chest function.,"{'entities': [(4, 16, 'TEST_NAME'), (30, 41, 'BODY_PART')]}"
Patient presents with Fungal Infection.,"{'entities': [(22, 38, 'SYMPTOM')]}"
The Whooping Cough Tests revealed a Microwave Burn in the right forearm.,"{'entities': [(36, 50, 'DIAGNOSIS'), (4, 24, 'TEST_NAME'), (58, 71, 'BODY_PART')]}"
Examine the Flail Chest in the patient's left kidney.,"{'entities': [(12, 23, 'SYMPTOM'), (41, 52, 'BODY_PART')]}"
Prescribe 65 g of Virtussin for pain relief.,"{'entities': [(18, 27, 'MEDICATION'), (10, 14, 'DOSAGE')]}"
Bone Density Scan measurements indicate Lyme Disease.,"{'entities': [(40, 52, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
Vitamin E (Tocopherol) Test measurements indicate Ectopic Pregnancy.,"{'entities': [(50, 67, 'DIAGNOSIS'), (0, 27, 'TEST_NAME')]}"
The Gram Stain shows normal right calf function.,"{'entities': [(4, 14, 'TEST_NAME'), (28, 38, 'BODY_PART')]}"
Patient presents with ORL Findings.,"{'entities': [(22, 34, 'SYMPTOM')]}"
She mentioned an allergy to oxandrolone.,"{'entities': [(28, 39, 'MEDICATION')]}"
Xylose Testing measurements indicate Fracture of Finger.,"{'entities': [(37, 55, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
He has been prescribed sulfamethoxazole 270 g.,"{'entities': [(23, 39, 'MEDICATION'), (40, 45, 'DOSAGE')]}"
The Amniocentesis (amniotic fluid test) shows normal right upper arm function.,"{'entities': [(4, 39, 'TEST_NAME'), (53, 68, 'BODY_PART')]}"
Examine the E. Coli Toxin Detected in the patient's right temple.,"{'entities': [(12, 34, 'SYMPTOM'), (52, 64, 'BODY_PART')]}"
Patient presents with Hemoptysis.,"{'entities': [(22, 32, 'SYMPTOM')]}"
The Progesterone Test revealed a Deep Wound On Feet in the left nostril.,"{'entities': [(33, 51, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (59, 71, 'BODY_PART')]}"
Patient presents with Squamous Cell Carcinoma Found In Throat.,"{'entities': [(22, 61, 'SYMPTOM')]}"
She mentioned an allergy to pyridoxine.,"{'entities': [(28, 38, 'MEDICATION')]}"
She mentioned an allergy to omeprazole.,"{'entities': [(28, 38, 'MEDICATION')]}"
Prescribe 885 mg of Xanax for pain relief.,"{'entities': [(20, 25, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
The patient was diagnosed with COVID-19 last year.,"{'entities': [(31, 39, 'DIAGNOSIS')]}"
The Stress Tests shows normal left nostril function.,"{'entities': [(4, 16, 'TEST_NAME'), (30, 42, 'BODY_PART')]}"
The patient was diagnosed with Thoracic Stab Wound last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
Prescribe 800 L of ibuprofen for pain relief.,"{'entities': [(19, 28, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Bone Density Scan shows normal left chin function.,"{'entities': [(4, 21, 'TEST_NAME'), (35, 44, 'BODY_PART')]}"
Diabetic Foot Exam measurements indicate Lupus.,"{'entities': [(41, 46, 'DIAGNOSIS'), (0, 18, 'TEST_NAME')]}"
Examine the Intestinal Fistula in the patient's left neck.,"{'entities': [(12, 30, 'SYMPTOM'), (48, 57, 'BODY_PART')]}"
The Calcium in Urine Test shows normal right breast function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 51, 'BODY_PART')]}"
Adrenocorticotropic Hormone (ACTH) measurements indicate Stroke.,"{'entities': [(57, 63, 'DIAGNOSIS'), (0, 34, 'TEST_NAME')]}"
Patient presents with Low Semen Volume.,"{'entities': [(22, 38, 'SYMPTOM')]}"
Prescribe 800 mg of Humalog for pain relief.,"{'entities': [(20, 27, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Patient presents with Mucinous Tumors.,"{'entities': [(22, 37, 'SYMPTOM')]}"
Prescribe 950 mL every 39 hours of Percocet for pain relief.,"{'entities': [(35, 43, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The Breast Biopsy revealed a Renal Contusion in the right lung.,"{'entities': [(29, 44, 'DIAGNOSIS'), (4, 17, 'TEST_NAME'), (52, 62, 'BODY_PART')]}"
Examine the Redness of Skin in the patient's right shoulder.,"{'entities': [(12, 27, 'SYMPTOM'), (45, 59, 'BODY_PART')]}"
Examine the Anterior Pituitary Ischemic Necrosis in the patient's left forearm.,"{'entities': [(12, 48, 'SYMPTOM'), (66, 78, 'BODY_PART')]}"
Patient presents with Increased ICP.,"{'entities': [(22, 35, 'SYMPTOM')]}"
Examine the Low Hematocrit in the patient's left tricep.,"{'entities': [(12, 26, 'SYMPTOM'), (44, 55, 'BODY_PART')]}"
She mentioned an allergy to NightTime Sleep Aid.,"{'entities': [(28, 47, 'MEDICATION')]}"
Stool Elastase measurements indicate Hand Contusion.,"{'entities': [(37, 51, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
The Hemoglobin Test revealed a Interstitial Cystitis in the left hip.,"{'entities': [(31, 52, 'DIAGNOSIS'), (4, 19, 'TEST_NAME'), (60, 68, 'BODY_PART')]}"
Cerebrospinal Fluid (CSF) Analysis measurements indicate Sheehan's Syndrome.,"{'entities': [(57, 75, 'DIAGNOSIS'), (0, 34, 'TEST_NAME')]}"
The patient was diagnosed with Trichomoniasis last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
The patient was diagnosed with Tuberculosis last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
Patient presents with Tachycardia.,"{'entities': [(22, 33, 'SYMPTOM')]}"
MPV Blood Test measurements indicate Giardiasis.,"{'entities': [(37, 47, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
Renin Test measurements indicate Thoracic Gunshot.,"{'entities': [(33, 49, 'DIAGNOSIS'), (0, 10, 'TEST_NAME')]}"
She mentioned an allergy to topiramate.,"{'entities': [(28, 38, 'MEDICATION')]}"
The Bilirubin Blood Test revealed a PAD in the left hip bone.,"{'entities': [(36, 39, 'DIAGNOSIS'), (4, 24, 'TEST_NAME'), (47, 60, 'BODY_PART')]}"
He has been prescribed meloxicam 490 g.,"{'entities': [(23, 32, 'MEDICATION'), (33, 38, 'DOSAGE')]}"
The patient was diagnosed with Mycoplasma Genitalium last year.,"{'entities': [(31, 52, 'DIAGNOSIS')]}"
The Growth Hormone Tests revealed a Hair Transplant [C] in the right eye.,"{'entities': [(36, 55, 'DIAGNOSIS'), (4, 24, 'TEST_NAME'), (63, 72, 'BODY_PART')]}"
Examine the Lassa Virus Present in the patient's spleen.,"{'entities': [(12, 31, 'SYMPTOM'), (49, 55, 'BODY_PART')]}"
The patient was diagnosed with Anaplasmosis last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
The Glucose in Urine Test shows normal right bicep function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 50, 'BODY_PART')]}"
He has been prescribed isoniazid 320 L every 5 hours.,"{'entities': [(23, 32, 'MEDICATION'), (33, 52, 'DOSAGE')]}"
The Barium Swallow shows normal left shoulder function.,"{'entities': [(4, 18, 'TEST_NAME'), (32, 45, 'BODY_PART')]}"
Colorectal Cancer Screening Tests measurements indicate Rupture of the Eardrum.,"{'entities': [(56, 78, 'DIAGNOSIS'), (0, 33, 'TEST_NAME')]}"
Prescribe 990 L of calcium carbonate for pain relief.,"{'entities': [(19, 36, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Albumin Blood Test revealed a Cholera in the right neck.,"{'entities': [(34, 41, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (49, 59, 'BODY_PART')]}"
Examine the Strep Skin Infection in the patient's left chest.,"{'entities': [(12, 32, 'SYMPTOM'), (50, 60, 'BODY_PART')]}"
The Fungal Culture Test revealed a Acute Renal Failure in the right thumb.,"{'entities': [(35, 54, 'DIAGNOSIS'), (4, 23, 'TEST_NAME'), (62, 73, 'BODY_PART')]}"
The patient was diagnosed with Acute Bartholinitis last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
He has been prescribed insulin 825 g.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
Ketones in Blood measurements indicate Cat-Scratch Disease.,"{'entities': [(39, 58, 'DIAGNOSIS'), (0, 16, 'TEST_NAME')]}"
Protein C and Protein S Tests measurements indicate HUS.,"{'entities': [(52, 55, 'DIAGNOSIS'), (0, 29, 'TEST_NAME')]}"
The patient was diagnosed with Tuberculosis last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
The patient was diagnosed with Liver Laceration last year.,"{'entities': [(31, 47, 'DIAGNOSIS')]}"
The Progesterone Test shows normal right wrist function.,"{'entities': [(4, 21, 'TEST_NAME'), (35, 46, 'BODY_PART')]}"
The Bone Marrow Tests revealed a Pulmonary Embolism in the right ankle.,"{'entities': [(33, 51, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (59, 70, 'BODY_PART')]}"
Examine the Atrophic Vaginitis in the patient's stomach.,"{'entities': [(12, 30, 'SYMPTOM'), (48, 55, 'BODY_PART')]}"
He has been prescribed gemfibrozil 960 g as needed.,"{'entities': [(23, 34, 'MEDICATION'), (35, 50, 'DOSAGE')]}"
Examine the Fluid In the Middle Ear in the patient's right forearm.,"{'entities': [(12, 35, 'SYMPTOM'), (53, 66, 'BODY_PART')]}"
He has been prescribed hydralazine 940 L every 22 hours.,"{'entities': [(23, 34, 'MEDICATION'), (35, 55, 'DOSAGE')]}"
The Growth Hormone Tests revealed a NK-Cell LGL Leukaemia in the left groin.,"{'entities': [(36, 57, 'DIAGNOSIS'), (4, 24, 'TEST_NAME'), (65, 75, 'BODY_PART')]}"
Free Light Chains measurements indicate Prostate Cancer (Stage 3).,"{'entities': [(40, 65, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
He has been prescribed Vyvanse 160 g.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
The patient was diagnosed with Contact Dermatitis last year.,"{'entities': [(31, 49, 'DIAGNOSIS')]}"
She mentioned an allergy to Kenalog.,"{'entities': [(28, 35, 'MEDICATION')]}"
He has been prescribed ergocalciferol (vitamin D2) 1000 g.,"{'entities': [(23, 50, 'MEDICATION'), (51, 57, 'DOSAGE')]}"
He has been prescribed Benzaclin 160 g.,"{'entities': [(23, 32, 'MEDICATION'), (33, 38, 'DOSAGE')]}"
He has been prescribed clopidogrel 795 mL.,"{'entities': [(23, 34, 'MEDICATION'), (35, 41, 'DOSAGE')]}"
Patient presents with Gynecologic Hemorrhage.,"{'entities': [(22, 44, 'SYMPTOM')]}"
The Pharmacogenetic Tests shows normal right hip function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 48, 'BODY_PART')]}"
He has been prescribed ondansetron 895 L every 41 hours.,"{'entities': [(23, 34, 'MEDICATION'), (35, 55, 'DOSAGE')]}"
She mentioned an allergy to hydroxychloroquine.,"{'entities': [(28, 46, 'MEDICATION')]}"
She mentioned an allergy to haloperidol.,"{'entities': [(28, 39, 'MEDICATION')]}"
The Iron Tests revealed a Open-Angle Glaucoma in the bladder.,"{'entities': [(26, 45, 'DIAGNOSIS'), (4, 14, 'TEST_NAME'), (53, 60, 'BODY_PART')]}"
Examine the Staphylococcus Aureus in the patient's right arm.,"{'entities': [(12, 33, 'SYMPTOM'), (51, 60, 'BODY_PART')]}"
He has been prescribed NightTime Sleep Aid 555 mL every 41 hours.,"{'entities': [(23, 42, 'MEDICATION'), (43, 64, 'DOSAGE')]}"
The Postpartum Depression Screening shows normal left cheek function.,"{'entities': [(4, 35, 'TEST_NAME'), (49, 59, 'BODY_PART')]}"
The Concussion Tests shows normal left palm function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 43, 'BODY_PART')]}"
Prescribe 225 L of Xanax for pain relief.,"{'entities': [(19, 24, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with White Patches On Tonsils.,"{'entities': [(22, 46, 'SYMPTOM')]}"
He has been prescribed nabumetone 545 g.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
Complete Blood Count (CBC) measurements indicate Nasal Cancer (Melanoma).,"{'entities': [(49, 72, 'DIAGNOSIS'), (0, 26, 'TEST_NAME')]}"
The patient was diagnosed with Legionnaires Disease last year.,"{'entities': [(31, 51, 'DIAGNOSIS')]}"
Prescribe 225 L of Depo-Medrol for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The patient was diagnosed with Japanese Spotted Fever last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
He has been prescribed norethindrone 460 mg every 43 hours.,"{'entities': [(23, 36, 'MEDICATION'), (37, 58, 'DOSAGE')]}"
Patient presents with Stomach Pain.,"{'entities': [(22, 34, 'SYMPTOM')]}"
He has been prescribed hyoscyamine 660 g.,"{'entities': [(23, 34, 'MEDICATION'), (35, 40, 'DOSAGE')]}"
Examine the Nerve Damage in the patient's left temple.,"{'entities': [(12, 24, 'SYMPTOM'), (42, 53, 'BODY_PART')]}"
Prescribe 760 L every 4 hours of Chantix for pain relief.,"{'entities': [(33, 40, 'MEDICATION'), (10, 29, 'DOSAGE')]}"
Patient presents with Pleural Fluid Infected.,"{'entities': [(22, 44, 'SYMPTOM')]}"
He has been prescribed dexamethasone 375 g.,"{'entities': [(23, 36, 'MEDICATION'), (37, 42, 'DOSAGE')]}"
The patient was diagnosed with Endometriosis last year.,"{'entities': [(31, 44, 'DIAGNOSIS')]}"
Patient presents with CSF Leak.,"{'entities': [(22, 30, 'SYMPTOM')]}"
Prescribe 890 g of calcium carbonate for pain relief.,"{'entities': [(19, 36, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The patient was diagnosed with Adrenocortical Carcinoma (Metastatic) last year.,"{'entities': [(31, 68, 'DIAGNOSIS')]}"
Examine the Widespread Painful Rash in the patient's left foot.,"{'entities': [(12, 35, 'SYMPTOM'), (53, 62, 'BODY_PART')]}"
Prothrombin Time Test and INR (PT/INR) measurements indicate Tetanus.,"{'entities': [(61, 68, 'DIAGNOSIS'), (0, 38, 'TEST_NAME')]}"
Patient presents with Hypertrophic Pulmonary Osteoarthropathy.,"{'entities': [(22, 61, 'SYMPTOM')]}"
Measuring Blood Pressure measurements indicate Non-Allergic Rhinitis.,"{'entities': [(47, 68, 'DIAGNOSIS'), (0, 24, 'TEST_NAME')]}"
He has been prescribed sodium bicarbonate 240 mL.,"{'entities': [(23, 41, 'MEDICATION'), (42, 48, 'DOSAGE')]}"
Pharmacogenetic Tests measurements indicate Squamous Cell Carcinoma (Stage 1).,"{'entities': [(44, 77, 'DIAGNOSIS'), (0, 21, 'TEST_NAME')]}"
She mentioned an allergy to bisoprolol Fumarate.,"{'entities': [(28, 47, 'MEDICATION')]}"
Patient presents with Wrist Contusion.,"{'entities': [(22, 37, 'SYMPTOM')]}"
Prescribe 225 L of Seroquel for pain relief.,"{'entities': [(19, 27, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with TSST-1.,"{'entities': [(22, 28, 'SYMPTOM')]}"
Examine the Inflamed Bilduct in the patient's left lung.,"{'entities': [(12, 28, 'SYMPTOM'), (46, 55, 'BODY_PART')]}"
The patient was diagnosed with Metastatic Lung Cancer last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
Bilirubin Blood Test measurements indicate Dysosmia.,"{'entities': [(43, 51, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
Magnesium Blood Test measurements indicate Rabies.,"{'entities': [(43, 49, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
He has been prescribed sitagliptin 730 g.,"{'entities': [(23, 34, 'MEDICATION'), (35, 40, 'DOSAGE')]}"
He has been prescribed Zantac 65 g.,"{'entities': [(23, 29, 'MEDICATION'), (30, 34, 'DOSAGE')]}"
Patient presents with Pneumonia.,"{'entities': [(22, 31, 'SYMPTOM')]}"
Progesterone Test measurements indicate Ovarian Torsion.,"{'entities': [(40, 55, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
Examine the Ciguatoxin Detected in the patient's right abdomen.,"{'entities': [(12, 31, 'SYMPTOM'), (49, 62, 'BODY_PART')]}"
The patient was diagnosed with HELLP Syndrome last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
The Yeast Infection Tests shows normal right hip function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 48, 'BODY_PART')]}"
Prescribe 505 g of olanzapine for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Patient presents with Keratin 7 (CK7) Bright Expression.,"{'entities': [(22, 55, 'SYMPTOM')]}"
She mentioned an allergy to nasal spray.,"{'entities': [(28, 39, 'MEDICATION')]}"
The patient was diagnosed with Overactive Bladder last year.,"{'entities': [(31, 49, 'DIAGNOSIS')]}"
Aldosterone Test measurements indicate Clear Cell Renal Cell Carcinoma: Stage II.,"{'entities': [(39, 80, 'DIAGNOSIS'), (0, 16, 'TEST_NAME')]}"
He has been prescribed Keflex 485 g.,"{'entities': [(23, 29, 'MEDICATION'), (30, 35, 'DOSAGE')]}"
The Methylmalonic Acid (MMA) Test shows normal right temple function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 59, 'BODY_PART')]}"
Examine the Carcinoid Crisis in the patient's left finger.,"{'entities': [(12, 28, 'SYMPTOM'), (46, 57, 'BODY_PART')]}"
Examine the TSST-1 in the patient's esophagus.,"{'entities': [(12, 18, 'SYMPTOM'), (36, 45, 'BODY_PART')]}"
Anti-MÃ¼llerian Hormone Test measurements indicate Esophagitis.,"{'entities': [(51, 62, 'DIAGNOSIS'), (0, 28, 'TEST_NAME')]}"
She mentioned an allergy to levofloxacin.,"{'entities': [(28, 40, 'MEDICATION')]}"
Patient presents with Urinary Incontinence.,"{'entities': [(22, 42, 'SYMPTOM')]}"
The Vitamin D Test revealed a Influenza A in the right arm.,"{'entities': [(30, 41, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (49, 58, 'BODY_PART')]}"
Alpha Fetoprotein (AFP) Tumor Marker Test measurements indicate Signet Ring Cell Colorectal Carcinoma.,"{'entities': [(64, 101, 'DIAGNOSIS'), (0, 41, 'TEST_NAME')]}"
The Dengue Fever Test revealed a Lassa Fever in the right foot.,"{'entities': [(33, 44, 'DIAGNOSIS'), (4, 21, 'TEST_NAME'), (52, 62, 'BODY_PART')]}"
The Depression Screening shows normal left chin function.,"{'entities': [(4, 24, 'TEST_NAME'), (38, 47, 'BODY_PART')]}"
Alkaline Phosphatase measurements indicate Cellulitis.,"{'entities': [(43, 53, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
She mentioned an allergy to montelukast.,"{'entities': [(28, 39, 'MEDICATION')]}"
She mentioned an allergy to Junel.,"{'entities': [(28, 33, 'MEDICATION')]}"
She mentioned an allergy to tetracycline.,"{'entities': [(28, 40, 'MEDICATION')]}"
The MPV Blood Test revealed a GDM in the right thumb.,"{'entities': [(30, 33, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (41, 52, 'BODY_PART')]}"
She mentioned an allergy to baclofen.,"{'entities': [(28, 36, 'MEDICATION')]}"
The patient was diagnosed with Functional Ovarian Cyst last year.,"{'entities': [(31, 54, 'DIAGNOSIS')]}"
The Anti-MÃ¼llerian Hormone Test revealed a Anaplastic Astrocytoma in the left ear.,"{'entities': [(44, 66, 'DIAGNOSIS'), (4, 32, 'TEST_NAME'), (74, 82, 'BODY_PART')]}"
He has been prescribed linezolid 460 mg.,"{'entities': [(23, 32, 'MEDICATION'), (33, 39, 'DOSAGE')]}"
Electrocardiogram measurements indicate Simple Fracture of Radius.,"{'entities': [(40, 65, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
The patient was diagnosed with Allergic Fungal Sinusitis last year.,"{'entities': [(31, 56, 'DIAGNOSIS')]}"
Prescribe 500 L of lamotrigine for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Triglycerides Test revealed a Hairy Cell Leukaemia in the right toe.,"{'entities': [(34, 54, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (62, 71, 'BODY_PART')]}"
Examine the Severe thermal Burn in the patient's left nipple.,"{'entities': [(12, 31, 'SYMPTOM'), (49, 60, 'BODY_PART')]}"
Rapid Tests measurements indicate CLL (Stable).,"{'entities': [(34, 46, 'DIAGNOSIS'), (0, 11, 'TEST_NAME')]}"
Patient presents with Aminopeptidase N (CD13) Bright Expression.,"{'entities': [(22, 63, 'SYMPTOM')]}"
How to Prepare Your Child for a Lab Test measurements indicate Infectious Mononucleosis.,"{'entities': [(63, 87, 'DIAGNOSIS'), (0, 40, 'TEST_NAME')]}"
The Arterial Blood Gas (ABG) Test shows normal bladder function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 54, 'BODY_PART')]}"
Patient presents with Guillain-Barre Findings.,"{'entities': [(22, 45, 'SYMPTOM')]}"
Patient presents with Cardiomegaly.,"{'entities': [(22, 34, 'SYMPTOM')]}"
Prescribe 75 L of Eldoquin for pain relief.,"{'entities': [(18, 26, 'MEDICATION'), (10, 14, 'DOSAGE')]}"
She mentioned an allergy to Folbee.,"{'entities': [(28, 34, 'MEDICATION')]}"
The Tuberculosis Screening revealed a Interstitial Nephritis in the pancreas.,"{'entities': [(38, 60, 'DIAGNOSIS'), (4, 26, 'TEST_NAME'), (68, 76, 'BODY_PART')]}"
The RDW (Red Cell Distribution Width) revealed a Scleritis in the right hip bone.,"{'entities': [(49, 58, 'DIAGNOSIS'), (4, 37, 'TEST_NAME'), (66, 80, 'BODY_PART')]}"
Hysteroscopy measurements indicate Postpartum Hemorrhage.,"{'entities': [(35, 56, 'DIAGNOSIS'), (0, 12, 'TEST_NAME')]}"
Examine the Mitral Stenosis in the patient's right breast.,"{'entities': [(12, 27, 'SYMPTOM'), (45, 57, 'BODY_PART')]}"
He has been prescribed Retin-A 870 g.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
Prescribe 115 g of Retin-A for pain relief.,"{'entities': [(19, 26, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 465 g every 45 hours of magnesium for pain relief.,"{'entities': [(34, 43, 'MEDICATION'), (10, 30, 'DOSAGE')]}"
He has been prescribed fenofibrate 925 L every 29 hours.,"{'entities': [(23, 34, 'MEDICATION'), (35, 55, 'DOSAGE')]}"
Patient presents with Anxiety.,"{'entities': [(22, 29, 'SYMPTOM')]}"
Examine the Gastrointestinal NET Detected in the patient's left ear.,"{'entities': [(12, 41, 'SYMPTOM'), (59, 67, 'BODY_PART')]}"
Patient presents with Hyperglycemia.,"{'entities': [(22, 35, 'SYMPTOM')]}"
The ANA (Antinuclear Antibody) Test revealed a Mycoplasma Genitalium in the right rib.,"{'entities': [(47, 68, 'DIAGNOSIS'), (4, 35, 'TEST_NAME'), (76, 85, 'BODY_PART')]}"
Patient presents with Neutropenia.,"{'entities': [(22, 33, 'SYMPTOM')]}"
The patient was diagnosed with UD NSC Lung Cancer (Localised) last year.,"{'entities': [(31, 61, 'DIAGNOSIS')]}"
Examine the Excessive Flatulence in the patient's right knee.,"{'entities': [(12, 32, 'SYMPTOM'), (50, 60, 'BODY_PART')]}"
The Calcitonin Test shows normal right eye function.,"{'entities': [(4, 19, 'TEST_NAME'), (33, 42, 'BODY_PART')]}"
Prescribe 770 g of ketorolac for pain relief.,"{'entities': [(19, 28, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Examine the Borrelia Antibodies Detected in the patient's left toe.,"{'entities': [(12, 40, 'SYMPTOM'), (58, 66, 'BODY_PART')]}"
Patient presents with Hypercortisolism.,"{'entities': [(22, 38, 'SYMPTOM')]}"
The Phenylketonuria (PKU) Screening shows normal left ankle function.,"{'entities': [(4, 35, 'TEST_NAME'), (49, 59, 'BODY_PART')]}"
Patient presents with Staphylococcus Aureus.,"{'entities': [(22, 43, 'SYMPTOM')]}"
Patient presents with Streptococcus Pneumoniae.,"{'entities': [(22, 46, 'SYMPTOM')]}"
Down Syndrome Tests measurements indicate Endometritis.,"{'entities': [(42, 54, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
The White Blood Count (WBC) shows normal right thigh function.,"{'entities': [(4, 27, 'TEST_NAME'), (41, 52, 'BODY_PART')]}"
Patient presents with Itching.,"{'entities': [(22, 29, 'SYMPTOM')]}"
Prescribe 885 mL of tinidazole for pain relief.,"{'entities': [(20, 30, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
She mentioned an allergy to pepcid.,"{'entities': [(28, 34, 'MEDICATION')]}"
The Chymotrypsin in Stool shows normal left ear function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 47, 'BODY_PART')]}"
Prescribe 5 mg of ketoconazole for pain relief.,"{'entities': [(18, 30, 'MEDICATION'), (10, 14, 'DOSAGE')]}"
Magnesium Blood Test measurements indicate Submucous Fibroma.,"{'entities': [(43, 60, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
The patient was diagnosed with Hepatocellular Carcinoma (Critical) last year.,"{'entities': [(31, 66, 'DIAGNOSIS')]}"
Prescribe 545 g of fluocinonide for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Haptoglobin (HP) Test shows normal left thumb function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 49, 'BODY_PART')]}"
The Galactosemia Tests shows normal left lung function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 45, 'BODY_PART')]}"
Prescribe 265 g of sodium chloride decyl glucoside for pain relief.,"{'entities': [(19, 50, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The patient was diagnosed with Functional Ovarian Cyst last year.,"{'entities': [(31, 54, 'DIAGNOSIS')]}"
The patient was diagnosed with Blepharospam [R](Mild) last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
She mentioned an allergy to dexamethasone.,"{'entities': [(28, 41, 'MEDICATION')]}"
Sweat Test for Cystic Fibrosis measurements indicate Tuberculosis.,"{'entities': [(53, 65, 'DIAGNOSIS'), (0, 30, 'TEST_NAME')]}"
